HTkode;forrigekode;FP;SP;Klasse;url
M-M-01;NA M14;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M14
M-M-01;NA M15;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M15
T-A-04;NA T22;4;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T22
T-A-04;NA T9;4;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T9
T-C-03;NA T21;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T21
T-C-03;NA T29;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29
T-D-06;NA T14;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T14
T-D-06;NA T10-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T10-2
T-G-01;NA T17-4;3;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T17-4
T-G-01;T17-27;3;3;HT;
T-G-01;T17-28;3;3;HT;
T-G-01;T17-29;3;3;HT;
T-I-01;NA T4;4;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4
T-I-01;NA T38;4;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T38
T-M-01;NA T39-1;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-1
T-M-01;NA T39-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-2
T-M-01;NA T39-3;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-3
T-M-01;NA T39-4;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-4
T-M-01;NA T39-7;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-7
T-M-01;NA T39-8;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-8
T-M-02;NA T39-5;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-5
T-M-02;NA T39-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-6
T-M-03;NA T35;3;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T35
T-M-03;NA T37;3;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T37
T-M-04;NA T36-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T36-2
T-M-04;NA T36-3;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T36-3
V-C-02;NA V4-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-6
V-C-02;NA V4-7;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-7
V-C-02;NA V4-8;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-8
V-C-02;NA V4-9;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-9
V-C-03;NA V4-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-6
V-C-03;NA V4-7;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-7
V-C-03;NA V4-8;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-8
V-C-03;NA V4-9;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V4-9
V-M-01;NA V11;2;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V11
V-M-01;NA V12;2;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V12
V-M-03;NA V13-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-2
V-M-03;NA V13-4;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-4
V-M-03;NA V13-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-6
V-M-04;NA V11;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V11
V-M-04;NA V12;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V12
V-M-06;NA V13-1;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-1
V-M-06;NA V13-3;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-3
V-M-06;NA V13-5;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-5
I-A-01;NA I1;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20I1
I-A-01;I2;4;4;HT;
S-A-01;NA H1-1;2;2;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
S-A-01;NA H1-5;2;2;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
S-C-01;NA H1-2;3;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-2
S-C-01;NA H1-3;3;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-3
S-C-01;NA H1-4;3;3;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-4
S-C-05;NA H2-2;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-2
S-C-05;NA H2-3;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-3
S-C-05;NA H2-4;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-4
S-C-05;NA H2-5;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-5
S-C-05;NA H2-6;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-6
S-C-05;NA H2-7;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-7
S-C-05;NA H2-8;4;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-8
S-C-06;NA H1-1;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
S-C-06;NA H1-5;1;4;HT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
