Måleskala;Trinn;Trinnverdi;Enhetverdi;Enhet
--;--;--;--;
D0;10;<256;Observert antall;OA
D0;9;129–256;Observert antall;OA
D0;8;65–128;Observert antall;OA
D0;6;17–32;Observert antall;OA
D0;5;9–16;Observert antall;OA
D0;7;33–64;Observert antall;OA
D0;3;3–4;Observert antall;OA
D0;2;2;Observert antall;OA
D0;1;1;Observert antall;OA
D0;0;0;Observert antall;OA
D0;4;5–8;Observert antall;OA
D1a;7;33–64;Observert antall;OA
D1a;10;<256;Observert antall;OA
D1a;9;129–256;Observert antall;OA
D1a;8;65–128;Observert antall;OA
D1a;6;17–32;Observert antall;OA
D1a;0;;Observert antall;OA
D1a;4;5–8;Observert antall;OA
D1a;3;3–4;Observert antall;OA
D1a;2;2;Observert antall;OA
D1a;1;1;Observert antall;OA
D1a;5;9–16;Observert antall;OA
D1b;5;65-256;Observert antall;OA
D1b;6;<256;Observert antall;OA
D1b;3;5-16;Observert antall;OA
D1b;4;17-64;Observert antall;OA
D1b;1;1;Observert antall;OA
D1b;0;0;Observert antall;OA
D1b;2;2-4;Observert antall;OA
P4;0;0;Prosent;P
P4;1;0-25;Prosent;P
P4;2;25-50;Prosent;P
P4;3;50-100;Prosent;P
P5;0;0;Prosent;P
P5;1;0-12,5;Prosent;P
P5;2;12,5-25;Prosent;P
P5;3;25-50;Prosent;P
P5;4;50-100;Prosent;P
P6a;0;0;Prosent;P
P6a;1;0-6,25;Prosent;P
P6a;2;6,25-12,5;Prosent;P
P6a;4;25-50;Prosent;P
P6a;5;50-100;Prosent;P
P6a;3;12,5-25;Prosent;P
P6b;0;0;Prosent;P
P6b;1;0-12,5;Prosent;P
P6b;2;12,5-25;Prosent;P
P6b;3;25-50;Prosent;P
P6b;4;50-75;Prosent;P
P6b;5;75-100;Prosent;P
P6c;0;0;Prosent;P
P6c;1;0–3,125;Prosent;P
P6c;2;3,125–12,5;Prosent;P
P6c;3;12,5–37,5;Prosent;P
P6c;4;37,5–80;Prosent;P
P6c;5;80–100;Prosent;P
P7;6;75-100;Prosent;P
P7;4;25-50;Prosent;P
P7;3;12,5-25;Prosent;P
P7;2;6,25-12,5;Prosent;P
P7;1;0-6,25;Prosent;P
P7;5;50-75;Prosent;P
P7;0;0;Prosent;P
P8;0;0;Prosent;P
P8;1;0-3,125;Prosent;P
P8;2;3,125-6,25;Prosent;P
P8;3;6,25-12,5;Prosent;P
P8;4;12,5-25;Prosent;P
P8;5;25-50;Prosent;P
P8;7;75-100;Prosent;P
P8;6;50-75;Prosent;P
P9a;1;0–3,125;Prosent;P
P9a;2;3.125–6,25;Prosent;P
P9a;3;6,25–12,5;Prosent;P
P9a;4;12,5–25;Prosent;P
P9a;5;25–50;Prosent;P
P9a;6;50–75;Prosent;P
P9a;7;75–90;Prosent;P
P9a;0;0;Prosent;P
P9a;8;90–100;Prosent;P
T0;10;>8–16;Tetthet;T
T0;9;>4–8;Tetthet;T
T0;8;>2–4;Tetthet;T
T0;4;1/8–1/4;Tetthet;T
T0;6;1/2–1;Tetthet;T
T0;5;1/4–1/2;Tetthet;T
T0;12;>32–64;Tetthet;T
T0;7;>1–2;Tetthet;T
T0;13;>64–128;Tetthet;T
T0;11;>16–32;Tetthet;T
T0;15;>256;Tetthet;T
T0;0;0;Tetthet;T
T0;1;0–1/32;Tetthet;T
T0;2;1/32–1/16;Tetthet;T
T0;3;1/16–1/8;Tetthet;T
T0;14;>128–256;Tetthet;T
T1a;9;>128–256;Tetthet;T
T1a;8;>64–128;Tetthet;T
T1a;7;>32–64;Tetthet;T
T1a;4;>4–8;Tetthet;T
T1a;3;>2–4;Tetthet;T
T1a;2;>1–2;Tetthet;T
T1a;1;>0–1;Tetthet;T
T1a;10;>256;Tetthet;T
T1a;0;0;Tetthet;T
T1a;5;>8–16;Tetthet;T
T1a;6;>16–32;Tetthet;T
T1b;0;0;Tetthet;T
T1b;1;>0–1;Tetthet;T
T1b;2;>1–4;Tetthet;T
T1b;3;>4–16;Tetthet;T
T1b;4;>16–64;Tetthet;T
T1b;5;>64–256;Tetthet;T
T1b;6;>256;Tetthet;T
T1c;14;>128–256;Tetthet;T
T1c;0;0;Tetthet;T
T1c;2;1/32–1/16;Tetthet;T
T1c;3;1/16–1/8;Tetthet;T
T1c;4;1/8–1/4;Tetthet;T
T1c;5;1/4–1/2;Tetthet;T
T1c;6;1/2–1;Tetthet;T
T1c;7;>1–2;Tetthet;T
T1c;8;>2–4;Tetthet;T
T1c;9;>4–8;Tetthet;T
T1c;10;>8–16;Tetthet;T
T1c;11;>16–32;Tetthet;T
T1c;12;>32–64;Tetthet;T
T1c;13;>64–128;Tetthet;T
T1c;15;>256;Tetthet;T
T1c;1;0–1/32;Tetthet;T
